dateTime,dateTime,ridership,day_week,hour
2010-05-07 08:00:00,2010-05-07 08:00:00,16.462962962962962,4,8
2010-05-07 12:00:00,2010-05-07 12:00:00,69.06481481481481,4,12
2010-05-07 16:00:00,2010-05-07 16:00:00,146.91071428571428,4,16
2010-05-07 20:00:00,2010-05-07 20:00:00,222.5344827586207,4,20
2010-05-08 00:00:00,2010-05-08 00:00:00,87.78448275862068,5,0
2010-05-08 04:00:00,2010-05-08 04:00:00,20.1015625,5,4
2010-05-08 08:00:00,2010-05-08 08:00:00,7.431034482758621,5,8
2010-05-08 12:00:00,2010-05-08 12:00:00,34.59,5,12
2010-05-08 16:00:00,2010-05-08 16:00:00,74.73148148148148,5,16
2010-05-08 20:00:00,2010-05-08 20:00:00,101.78448275862068,5,20
2010-05-09 00:00:00,2010-05-09 00:00:00,64.5603448275862,6,0
2010-05-09 08:00:00,2010-05-09 08:00:00,6.336956521739131,6,8
2010-05-09 12:00:00,2010-05-09 12:00:00,29.054347826086957,6,12
2010-05-09 16:00:00,2010-05-09 16:00:00,57.6,6,16
2010-05-09 20:00:00,2010-05-09 20:00:00,77.4274193548387,6,20
2010-05-10 00:00:00,2010-05-10 00:00:00,40.65625,0,0
2010-05-10 04:00:00,2010-05-10 04:00:00,6.3203125,0,4
2010-05-10 08:00:00,2010-05-10 08:00:00,16.071428571428573,0,8
2010-05-10 12:00:00,2010-05-10 12:00:00,70.94642857142857,0,12
2010-05-10 16:00:00,2010-05-10 16:00:00,128.66129032258064,0,16
2010-05-10 20:00:00,2010-05-10 20:00:00,218.58064516129033,0,20
2010-05-11 00:00:00,2010-05-11 00:00:00,92.16129032258064,1,0
2010-05-11 12:00:00,2010-05-11 12:00:00,54.229166666666664,1,12
2010-05-11 16:00:00,2010-05-11 16:00:00,93.97619047619048,1,16
2010-05-11 20:00:00,2010-05-11 20:00:00,207.52884615384616,1,20
2010-05-12 00:00:00,2010-05-12 00:00:00,95.19642857142857,2,0
2010-05-12 04:00:00,2010-05-12 04:00:00,14.15,2,4
2010-05-12 08:00:00,2010-05-12 08:00:00,17.758333333333333,2,8
2010-05-12 12:00:00,2010-05-12 12:00:00,75.33333333333333,2,12
2010-05-12 16:00:00,2010-05-12 16:00:00,128.89814814814815,2,16
2010-05-12 20:00:00,2010-05-12 20:00:00,227.86666666666667,2,20
2010-05-13 00:00:00,2010-05-13 00:00:00,94.41129032258064,3,0
2010-05-13 12:00:00,2010-05-13 12:00:00,76.13888888888889,3,12
2010-05-13 16:00:00,2010-05-13 16:00:00,137.18965517241378,3,16
2010-05-13 20:00:00,2010-05-13 20:00:00,230.91379310344828,3,20
2010-05-14 00:00:00,2010-05-14 00:00:00,105.64166666666667,4,0
2010-05-14 12:00:00,2010-05-14 12:00:00,82.65,4,12
2010-05-14 16:00:00,2010-05-14 16:00:00,131.375,4,16
2010-05-14 20:00:00,2010-05-14 20:00:00,191.7962962962963,4,20
2010-05-22 04:00:00,2010-05-22 04:00:00,19.546875,5,4
2010-05-22 08:00:00,2010-05-22 08:00:00,8.151785714285714,5,8
2010-05-22 12:00:00,2010-05-22 12:00:00,40.330357142857146,5,12
2010-05-22 16:00:00,2010-05-22 16:00:00,80.9921875,5,16
2010-05-22 20:00:00,2010-05-22 20:00:00,109.53333333333333,5,20
2010-05-23 00:00:00,2010-05-23 00:00:00,69.55833333333334,6,0
2010-05-23 04:00:00,2010-05-23 04:00:00,18.072580645161292,6,4
2010-05-23 08:00:00,2010-05-23 08:00:00,6.153225806451613,6,8
2010-05-23 12:00:00,2010-05-23 12:00:00,30.217741935483872,6,12
2010-05-23 16:00:00,2010-05-23 16:00:00,69.50806451612904,6,16
2010-05-23 20:00:00,2010-05-23 20:00:00,90.98387096774194,6,20
2010-05-24 00:00:00,2010-05-24 00:00:00,46.00806451612903,0,0
2010-05-24 04:00:00,2010-05-24 04:00:00,9.629032258064516,0,4
2010-05-24 08:00:00,2010-05-24 08:00:00,16.428571428571427,0,8
2010-05-24 12:00:00,2010-05-24 12:00:00,76.65178571428571,0,12
2010-05-24 16:00:00,2010-05-24 16:00:00,125.62962962962963,0,16
2010-05-24 20:00:00,2010-05-24 20:00:00,209.15740740740742,0,20
2010-05-25 00:00:00,2010-05-25 00:00:00,83.51851851851852,1,0
2010-05-25 04:00:00,2010-05-25 04:00:00,10.51923076923077,1,4
2010-05-25 08:00:00,2010-05-25 08:00:00,13.166666666666666,1,8
2010-05-25 12:00:00,2010-05-25 12:00:00,76.15,1,12
2010-05-25 16:00:00,2010-05-25 16:00:00,129.50892857142858,1,16
2010-05-25 20:00:00,2010-05-25 20:00:00,224.02586206896552,1,20
2010-05-26 00:00:00,2010-05-26 00:00:00,95.33064516129032,2,0
2010-05-26 08:00:00,2010-05-26 08:00:00,20.208333333333332,2,8
2010-05-26 12:00:00,2010-05-26 12:00:00,86.29166666666667,2,12
2010-05-26 16:00:00,2010-05-26 16:00:00,139.04,2,16
2010-05-26 20:00:00,2010-05-26 20:00:00,224.125,2,20
2010-05-27 00:00:00,2010-05-27 00:00:00,91.484375,3,0
2010-05-27 12:00:00,2010-05-27 12:00:00,70.67708333333333,3,12
2010-05-27 16:00:00,2010-05-27 16:00:00,112.51612903225806,3,16
2010-05-27 20:00:00,2010-05-27 20:00:00,203.1451612903226,3,20
2010-05-28 00:00:00,2010-05-28 00:00:00,77.78225806451613,4,0
2010-05-28 04:00:00,2010-05-28 04:00:00,12.709677419354838,4,4
2010-05-28 08:00:00,2010-05-28 08:00:00,15.435185185185185,4,8
2010-05-28 12:00:00,2010-05-28 12:00:00,63.59,4,12
2010-05-28 16:00:00,2010-05-28 16:00:00,133.61607142857142,4,16
2010-05-28 20:00:00,2010-05-28 20:00:00,148.8125,4,20
2010-05-29 00:00:00,2010-05-29 00:00:00,70.24166666666666,5,0
2010-05-29 04:00:00,2010-05-29 04:00:00,16.5546875,5,4
2010-05-29 08:00:00,2010-05-29 08:00:00,7.172413793103448,5,8
2010-05-29 12:00:00,2010-05-29 12:00:00,33.330357142857146,5,12
2010-05-29 16:00:00,2010-05-29 16:00:00,65.4274193548387,5,16
2010-05-29 20:00:00,2010-05-29 20:00:00,91.41935483870968,5,20
2010-05-30 00:00:00,2010-05-30 00:00:00,61.0546875,6,0
2010-05-30 04:00:00,2010-05-30 04:00:00,16.5234375,6,4
2010-05-30 08:00:00,2010-05-30 08:00:00,6.695652173913044,6,8
2010-05-30 12:00:00,2010-05-30 12:00:00,32.58695652173913,6,12
2010-05-30 16:00:00,2010-05-30 16:00:00,61.024193548387096,6,16
2010-05-30 20:00:00,2010-05-30 20:00:00,92.87903225806451,6,20
2010-05-31 00:00:00,2010-05-31 00:00:00,51.346774193548384,0,0
2010-05-31 12:00:00,2010-05-31 12:00:00,31.125,0,12
2010-05-31 16:00:00,2010-05-31 16:00:00,54.51923076923077,0,16
2010-05-31 20:00:00,2010-05-31 20:00:00,87.75892857142857,0,20
2010-06-01 00:00:00,2010-06-01 00:00:00,42.55172413793103,1,0
2010-06-01 12:00:00,2010-06-01 12:00:00,66.36206896551724,1,12
2010-06-01 16:00:00,2010-06-01 16:00:00,108.66379310344827,1,16
2010-06-01 20:00:00,2010-06-01 20:00:00,196.6293103448276,1,20
2010-06-02 00:00:00,2010-06-02 00:00:00,78.41666666666667,2,0
2010-06-02 04:00:00,2010-06-02 04:00:00,10.661290322580646,2,4
2010-06-02 08:00:00,2010-06-02 08:00:00,16.75,2,8
2010-06-02 12:00:00,2010-06-02 12:00:00,73.99107142857143,2,12
2010-06-02 16:00:00,2010-06-02 16:00:00,107.71875,2,16
2010-06-02 20:00:00,2010-06-02 20:00:00,187.01,2,20
2010-06-03 00:00:00,2010-06-03 00:00:00,89.575,3,0
2010-06-03 12:00:00,2010-06-03 12:00:00,75.17307692307692,3,12
2010-06-03 16:00:00,2010-06-03 16:00:00,120.66935483870968,3,16
2010-06-03 20:00:00,2010-06-03 20:00:00,204.125,3,20
2010-06-04 00:00:00,2010-06-04 00:00:00,91.45967741935483,4,0
2010-06-04 12:00:00,2010-06-04 12:00:00,53.07692307692308,4,12
2010-06-04 16:00:00,2010-06-04 16:00:00,95.80208333333333,4,16
2010-06-04 20:00:00,2010-06-04 20:00:00,158.58,4,20
2010-06-05 00:00:00,2010-06-05 00:00:00,73.13888888888889,5,0
2010-06-05 04:00:00,2010-06-05 04:00:00,20.25,5,4
2010-06-05 08:00:00,2010-06-05 08:00:00,7.233333333333333,5,8
2010-06-05 12:00:00,2010-06-05 12:00:00,35.30833333333333,5,12
2010-06-05 16:00:00,2010-06-05 16:00:00,74.21774193548387,5,16
2010-06-05 20:00:00,2010-06-05 20:00:00,96.79032258064517,5,20
2010-06-06 00:00:00,2010-06-06 00:00:00,61.975806451612904,6,0
2010-06-06 04:00:00,2010-06-06 04:00:00,17.612903225806452,6,4
2010-06-06 08:00:00,2010-06-06 08:00:00,6.64,6,8
2010-06-06 12:00:00,2010-06-06 12:00:00,29.78,6,12
2010-06-06 16:00:00,2010-06-06 16:00:00,50.725,6,16
2010-06-06 20:00:00,2010-06-06 20:00:00,69.95,6,20
2010-06-07 00:00:00,2010-06-07 00:00:00,41.78225806451613,0,0
2010-06-07 12:00:00,2010-06-07 12:00:00,76.0375,0,12
2010-06-07 16:00:00,2010-06-07 16:00:00,112.77272727272727,0,16
2010-06-07 20:00:00,2010-06-07 20:00:00,204.75,0,20
2010-06-08 00:00:00,2010-06-08 00:00:00,87.46551724137932,1,0
2010-06-08 12:00:00,2010-06-08 12:00:00,74.675,1,12
2010-06-08 16:00:00,2010-06-08 16:00:00,116.14516129032258,1,16
2010-06-08 20:00:00,2010-06-08 20:00:00,204.78225806451613,1,20
2010-06-09 00:00:00,2010-06-09 00:00:00,89.5241935483871,2,0
2010-06-09 04:00:00,2010-06-09 04:00:00,12.233870967741936,2,4
2010-06-09 08:00:00,2010-06-09 08:00:00,18.088709677419356,2,8
2010-06-09 12:00:00,2010-06-09 12:00:00,71.8671875,2,12
2010-06-09 16:00:00,2010-06-09 16:00:00,117.48387096774194,2,16
2010-06-09 20:00:00,2010-06-09 20:00:00,204.675,2,20
2010-06-10 00:00:00,2010-06-10 00:00:00,74.98333333333333,3,0
2010-06-10 04:00:00,2010-06-10 04:00:00,9.991379310344827,3,4
2010-06-10 12:00:00,2010-06-10 12:00:00,74.85576923076923,3,12
2010-06-10 16:00:00,2010-06-10 16:00:00,117.87096774193549,3,16
2010-06-10 20:00:00,2010-06-10 20:00:00,200.49193548387098,3,20
2010-06-11 00:00:00,2010-06-11 00:00:00,91.2258064516129,4,0
2010-06-11 04:00:00,2010-06-11 04:00:00,14.798387096774194,4,4
2010-06-11 08:00:00,2010-06-11 08:00:00,16.064814814814813,4,8
2010-06-11 12:00:00,2010-06-11 12:00:00,33.265625,4,12
2010-06-11 16:00:00,2010-06-11 16:00:00,85.4875,4,16
2010-06-11 20:00:00,2010-06-11 20:00:00,127.125,4,20
2010-06-12 00:00:00,2010-06-12 00:00:00,62.61,5,0
2010-06-12 04:00:00,2010-06-12 04:00:00,20.958333333333332,5,4
2010-06-12 12:00:00,2010-06-12 12:00:00,79.875,5,12
2010-06-12 16:00:00,2010-06-12 16:00:00,68.2890625,5,16
2010-06-12 20:00:00,2010-06-12 20:00:00,91.171875,5,20
2010-06-13 00:00:00,2010-06-13 00:00:00,61.140625,6,0
2010-06-13 04:00:00,2010-06-13 04:00:00,17.411290322580644,6,4
2010-06-13 08:00:00,2010-06-13 08:00:00,6.395833333333333,6,8
2010-06-13 12:00:00,2010-06-13 12:00:00,29.99,6,12
2010-06-13 16:00:00,2010-06-13 16:00:00,78.10483870967742,6,16
2010-06-13 20:00:00,2010-06-13 20:00:00,91.98387096774194,6,20
2010-06-14 00:00:00,2010-06-14 00:00:00,36.546875,0,0
2010-06-14 12:00:00,2010-06-14 12:00:00,65.19642857142857,0,12
2010-06-14 16:00:00,2010-06-14 16:00:00,105.62903225806451,0,16
2010-06-14 20:00:00,2010-06-14 20:00:00,196.42741935483872,0,20
2010-06-15 00:00:00,2010-06-15 00:00:00,85.2,1,0
2010-06-15 12:00:00,2010-06-15 12:00:00,83.83,1,12
2010-06-15 16:00:00,2010-06-15 16:00:00,147.90625,1,16
2010-06-15 20:00:00,2010-06-15 20:00:00,267.75,1,20
2010-06-16 00:00:00,2010-06-16 00:00:00,99.11607142857143,2,0
2010-06-16 08:00:00,2010-06-16 08:00:00,18.102272727272727,2,8
2010-06-16 12:00:00,2010-06-16 12:00:00,76.68478260869566,2,12
2010-06-16 16:00:00,2010-06-16 16:00:00,112.56481481481481,2,16
2010-06-16 20:00:00,2010-06-16 20:00:00,231.94791666666666,2,20
2010-06-17 00:00:00,2010-06-17 00:00:00,105.3125,3,0
2010-06-17 04:00:00,2010-06-17 04:00:00,13.22,3,4
2010-06-17 12:00:00,2010-06-17 12:00:00,76.92592592592592,3,12
2010-06-17 16:00:00,2010-06-17 16:00:00,116.85,3,16
2010-06-17 20:00:00,2010-06-17 20:00:00,208.63709677419354,3,20
2010-06-18 00:00:00,2010-06-18 00:00:00,93.54838709677419,4,0
2010-06-18 08:00:00,2010-06-18 08:00:00,15.305555555555555,4,8
2010-06-18 12:00:00,2010-06-18 12:00:00,65.46296296296296,4,12
2010-06-18 16:00:00,2010-06-18 16:00:00,117.25806451612904,4,16
2010-06-18 20:00:00,2010-06-18 20:00:00,179.3548387096774,4,20
2010-06-19 00:00:00,2010-06-19 00:00:00,81.09677419354838,5,0
2010-06-19 04:00:00,2010-06-19 04:00:00,18.798387096774192,5,4
2010-06-19 08:00:00,2010-06-19 08:00:00,7.661290322580645,5,8
2010-06-19 12:00:00,2010-06-19 12:00:00,40.056451612903224,5,12
2010-06-19 16:00:00,2010-06-19 16:00:00,79.65322580645162,5,16
2010-06-19 20:00:00,2010-06-19 20:00:00,105.79838709677419,5,20
2010-06-20 00:00:00,2010-06-20 00:00:00,73.66129032258064,6,0
2010-06-20 04:00:00,2010-06-20 04:00:00,18.879032258064516,6,4
2010-06-20 08:00:00,2010-06-20 08:00:00,6.29,6,8
2010-06-20 12:00:00,2010-06-20 12:00:00,34.802083333333336,6,12
2010-06-20 16:00:00,2010-06-20 16:00:00,60.84166666666667,6,16
2010-06-20 20:00:00,2010-06-20 20:00:00,80.66935483870968,6,20
2010-06-21 00:00:00,2010-06-21 00:00:00,47.86290322580645,0,0
2010-06-21 12:00:00,2010-06-21 12:00:00,67.48387096774194,0,12
2010-06-21 16:00:00,2010-06-21 16:00:00,102.27678571428571,0,16
2010-06-21 20:00:00,2010-06-21 20:00:00,179.47115384615384,0,20
2010-06-22 00:00:00,2010-06-22 00:00:00,73.76785714285714,1,0
2010-06-22 12:00:00,2010-06-22 12:00:00,70.71666666666667,1,12
2010-06-22 16:00:00,2010-06-22 16:00:00,112.38709677419355,1,16
2010-06-22 20:00:00,2010-06-22 20:00:00,202.33870967741936,1,20
2010-06-23 00:00:00,2010-06-23 00:00:00,85.78225806451613,2,0
2010-06-23 04:00:00,2010-06-23 04:00:00,10.983870967741936,2,4
2010-06-23 08:00:00,2010-06-23 08:00:00,16.625,2,8
2010-06-23 12:00:00,2010-06-23 12:00:00,74.625,2,12
2010-06-23 16:00:00,2010-06-23 16:00:00,110.64516129032258,2,16
2010-06-23 20:00:00,2010-06-23 20:00:00,205.16935483870967,2,20
2010-06-24 00:00:00,2010-06-24 00:00:00,92.25,3,0
2010-06-24 04:00:00,2010-06-24 04:00:00,13.8,3,4
2010-06-24 08:00:00,2010-06-24 08:00:00,17.0,3,8
2010-06-24 12:00:00,2010-06-24 12:00:00,75.26086956521739,3,12
2010-06-24 16:00:00,2010-06-24 16:00:00,82.52631578947368,3,16
2010-06-24 20:00:00,2010-06-24 20:00:00,127.72619047619048,3,20
2010-06-25 00:00:00,2010-06-25 00:00:00,75.00961538461539,4,0
2010-06-25 04:00:00,2010-06-25 04:00:00,15.379310344827585,4,4
2010-06-25 08:00:00,2010-06-25 08:00:00,15.51923076923077,4,8
2010-06-25 12:00:00,2010-06-25 12:00:00,69.71296296296296,4,12
2010-06-25 16:00:00,2010-06-25 16:00:00,116.26612903225806,4,16
2010-06-25 20:00:00,2010-06-25 20:00:00,177.83064516129033,4,20
2010-06-26 00:00:00,2010-06-26 00:00:00,77.59677419354838,5,0
2010-06-26 04:00:00,2010-06-26 04:00:00,21.088709677419356,5,4
2010-06-26 08:00:00,2010-06-26 08:00:00,7.741379310344827,5,8
2010-06-26 12:00:00,2010-06-26 12:00:00,40.9051724137931,5,12
2010-06-26 16:00:00,2010-06-26 16:00:00,71.05645161290323,5,16
2010-06-26 20:00:00,2010-06-26 20:00:00,97.73387096774194,5,20
2010-06-27 00:00:00,2010-06-27 00:00:00,58.53225806451613,6,0
2010-06-27 04:00:00,2010-06-27 04:00:00,17.572580645161292,6,4
2010-06-27 08:00:00,2010-06-27 08:00:00,7.413043478260869,6,8
2010-06-27 12:00:00,2010-06-27 12:00:00,32.16304347826087,6,12
2010-06-27 16:00:00,2010-06-27 16:00:00,60.275,6,16
2010-06-27 20:00:00,2010-06-27 20:00:00,80.47413793103448,6,20
2010-06-28 00:00:00,2010-06-28 00:00:00,45.10344827586207,0,0
2010-06-28 12:00:00,2010-06-28 12:00:00,77.9,0,12
2010-06-28 16:00:00,2010-06-28 16:00:00,102.04629629629629,0,16
2010-06-28 20:00:00,2010-06-28 20:00:00,187.39655172413794,0,20
2010-06-29 00:00:00,2010-06-29 00:00:00,70.9758064516129,1,0
2010-06-29 12:00:00,2010-06-29 12:00:00,73.38709677419355,1,12
2010-06-29 16:00:00,2010-06-29 16:00:00,103.35483870967742,1,16
2010-06-29 20:00:00,2010-06-29 20:00:00,199.36290322580646,1,20
2010-06-30 00:00:00,2010-06-30 00:00:00,95.45161290322581,2,0
2010-06-30 04:00:00,2010-06-30 04:00:00,13.120689655172415,2,4
2010-06-30 08:00:00,2010-06-30 08:00:00,16.875,2,8
2010-06-30 12:00:00,2010-06-30 12:00:00,75.55208333333333,2,12
2010-06-30 16:00:00,2010-06-30 16:00:00,109.14655172413794,2,16
2010-06-30 20:00:00,2010-06-30 20:00:00,212.74137931034483,2,20
2010-07-01 00:00:00,2010-07-01 00:00:00,92.54166666666667,3,0
2010-07-01 08:00:00,2010-07-01 08:00:00,15.16,3,8
2010-07-01 12:00:00,2010-07-01 12:00:00,63.65217391304348,3,12
2010-07-01 16:00:00,2010-07-01 16:00:00,101.4375,3,16
2010-07-01 20:00:00,2010-07-01 20:00:00,195.86290322580646,3,20
2010-07-02 00:00:00,2010-07-02 00:00:00,83.38333333333334,4,0
2010-07-02 04:00:00,2010-07-02 04:00:00,13.033333333333333,4,4
2010-07-02 08:00:00,2010-07-02 08:00:00,13.357142857142858,4,8
2010-07-02 12:00:00,2010-07-02 12:00:00,62.529411764705884,4,12
2010-07-02 16:00:00,2010-07-02 16:00:00,116.6375,4,16
2010-07-02 20:00:00,2010-07-02 20:00:00,144.046875,4,20
2011-04-30 04:00:00,2011-04-30 04:00:00,17.5,5,4
2011-04-30 08:00:00,2011-04-30 08:00:00,8.108333333333333,5,8
2011-04-30 12:00:00,2011-04-30 12:00:00,43.166666666666664,5,12
2011-04-30 16:00:00,2011-04-30 16:00:00,74.55263157894737,5,16
2011-04-30 20:00:00,2011-04-30 20:00:00,90.92763157894737,5,20
2011-05-01 00:00:00,2011-05-01 00:00:00,58.5328947368421,6,0
2011-05-01 04:00:00,2011-05-01 04:00:00,15.756578947368421,6,4
2011-05-01 08:00:00,2011-05-01 08:00:00,6.537878787878788,6,8
2011-05-01 12:00:00,2011-05-01 12:00:00,34.52272727272727,6,12
2011-05-01 16:00:00,2011-05-01 16:00:00,61.96052631578947,6,16
2011-05-01 20:00:00,2011-05-01 20:00:00,87.52702702702703,6,20
2011-05-02 00:00:00,2011-05-02 00:00:00,35.75675675675676,0,0
2011-05-02 04:00:00,2011-05-02 04:00:00,6.628378378378378,0,4
2011-05-02 08:00:00,2011-05-02 08:00:00,14.838235294117647,0,8
2011-05-02 12:00:00,2011-05-02 12:00:00,67.63235294117646,0,12
2011-05-02 16:00:00,2011-05-02 16:00:00,104.41447368421052,0,16
2011-05-02 20:00:00,2011-05-02 20:00:00,183.30405405405406,0,20
2011-05-03 00:00:00,2011-05-03 00:00:00,76.52702702702703,1,0
